Reading Test Driver data...done
Reading query mix file: queries\explore\querymix.txt
Reading query ignore file: queries\explore\ignoreQueries.txt

Starting test...

Generating queries...done
Clients created.
Thread 4: query mix 59: 0.00ms, total: 0.07ms
Thread 1: query mix 63: 0.00ms, total: 0.06ms
Thread 4: query mix 64: 0.00ms, total: 0.11ms
Thread 3: query mix 57: 0.00ms, total: 0.06ms
Thread 4: query mix 66: 0.00ms, total: 0.11ms
Thread 1: query mix 65: 0.00ms, total: 0.07ms
Thread 2: query mix 62: 0.00ms, total: 0.07ms
Thread 1: query mix 69: 0.00ms, total: 0.07ms
Thread 4: query mix 68: 0.00ms, total: 0.11ms
Thread 2: query mix 70: 0.00ms, total: 0.09ms
Thread 3: query mix 67: 0.00ms, total: 0.07ms
Thread 4: query mix 72: 0.00ms, total: 0.07ms
Thread 3: query mix 74: 0.00ms, total: 0.06ms
Thread 1: query mix 71: 0.00ms, total: 0.06ms
Thread 4: query mix 75: 0.00ms, total: 0.07ms
Thread 2: query mix 73: 0.00ms, total: 0.07ms
Thread 1: query mix 77: 0.00ms, total: 0.07ms
Thread 4: query mix 78: 0.00ms, total: 0.07ms
Thread 3: query mix 76: 0.00ms, total: 0.09ms
Thread 1: query mix 80: 0.00ms, total: 0.07ms
Thread 2: query mix 79: 0.00ms, total: 0.06ms
Thread 3: query mix 82: 0.00ms, total: 0.09ms
Thread 2: query mix 84: 0.00ms, total: 0.11ms
Thread 1: query mix 83: 0.00ms, total: 0.07ms
Thread 2: query mix 86: 0.00ms, total: 0.07ms
Thread 4: query mix 81: 0.00ms, total: 0.09ms
Thread 2: query mix 88: 0.00ms, total: 0.07ms
Thread 3: query mix 85: 0.00ms, total: 0.07ms
Thread 4: query mix 89: 0.00ms, total: 0.06ms
Thread 1: query mix 87: 0.00ms, total: 0.07ms
Thread 3: query mix 91: 0.00ms, total: 0.08ms
Thread 2: query mix 90: 0.00ms, total: 0.06ms
Thread 1: query mix 93: 0.00ms, total: 0.06ms
Thread 4: query mix 92: 0.00ms, total: 0.07ms
Thread 2: query mix 95: 0.00ms, total: 0.07ms
Thread 3: query mix 94: 0.00ms, total: 0.07ms
Thread 4: query mix 97: 0.00ms, total: 0.07ms
Thread 1: query mix 96: 0.00ms, total: 0.07ms
Thread 3: query mix 99: 0.00ms, total: 0.07ms
Thread 2: query mix 98: 0.00ms, total: 0.07ms
Thread 1: query mix 101: 0.00ms, total: 0.07ms
Thread 4: query mix 100: 0.00ms, total: 0.07ms
Thread 2: query mix 103: 0.00ms, total: 0.07ms
Thread 3: query mix 102: 0.00ms, total: 0.08ms
Thread 4: query mix 105: 0.00ms, total: 0.07ms
Thread 1: query mix 104: 0.00ms, total: 0.07ms
Thread 3: query mix 107: 0.00ms, total: 0.07ms
Thread 4: query mix 108: 0.00ms, total: 0.07ms
Thread 3: query mix 110: 0.00ms, total: 0.07ms
Thread 4: query mix 111: 0.00ms, total: 0.07ms
Thread 2: query mix 106: 0.00ms, total: 0.08ms
Thread 3: query mix 112: 0.00ms, total: 0.07ms
Thread 1: query mix 109: 0.00ms, total: 0.14ms
Thread 2: query mix 114: 0.00ms, total: 0.07ms
Thread 1: query mix 116: 0.00ms, total: 0.07ms
Thread 2: query mix 117: 0.00ms, total: 0.07ms
Thread 1: query mix 118: 0.00ms, total: 0.06ms
Thread 2: query mix 119: 0.00ms, total: 0.07ms
Thread 1: query mix 120: 0.00ms, total: 0.08ms
Thread 2: query mix 121: 0.00ms, total: 0.08ms
Thread 4: query mix 113: 0.00ms, total: 0.06ms
Thread 1: query mix 122: 0.00ms, total: 0.08ms
Thread 3: query mix 115: 0.00ms, total: 0.14ms
Thread 4: query mix 124: 0.00ms, total: 0.07ms
Thread 2: query mix 123: 0.00ms, total: 0.07ms
Thread 1: query mix 125: 0.00ms, total: 0.06ms
Thread 4: query mix 127: 0.00ms, total: 0.07ms
Thread 2: query mix 128: 0.00ms, total: 0.07ms
Thread 1: query mix 129: 0.00ms, total: 0.07ms
Thread 4: query mix 130: 0.00ms, total: 0.06ms
Thread 3: query mix 126: 0.00ms, total: 0.06ms
Thread 1: query mix 132: 0.00ms, total: 0.07ms
Thread 4: query mix 133: 0.00ms, total: 0.06ms
Thread 2: query mix 131: 0.00ms, total: 0.07ms
Thread 3: query mix 134: 0.00ms, total: 0.07ms
Thread 4: query mix 136: 0.00ms, total: 0.07ms
Thread 1: query mix 135: 0.00ms, total: 0.07ms
Thread 3: query mix 138: 0.00ms, total: 0.07ms
Thread 4: query mix 139: 0.00ms, total: 0.06ms
Thread 2: query mix 137: 0.00ms, total: 0.08ms
Thread 1: query mix 140: 0.00ms, total: 0.07ms
Thread 4: query mix 142: 0.00ms, total: 0.07ms
Thread 3: query mix 141: 0.00ms, total: 0.06ms
Thread 2: query mix 143: 0.00ms, total: 0.07ms
Thread 4: query mix 145: 0.00ms, total: 0.06ms
Thread 1: query mix 144: 0.00ms, total: 0.07ms
Thread 2: query mix 147: 0.00ms, total: 0.06ms
Thread 3: query mix 146: 0.00ms, total: 0.07ms
Thread 1: query mix 149: 0.00ms, total: 0.06ms
Thread 4: query mix 148: 0.00ms, total: 0.07ms
Thread 3: query mix 151: 0.00ms, total: 0.07ms
Thread 2: query mix 150: 0.00ms, total: 0.06ms
Thread 4: query mix 153: 0.00ms, total: 0.07ms
Thread 1: query mix 152: 0.00ms, total: 0.07ms
Thread 2: query mix 155: 0.00ms, total: 0.07ms
Thread 3: query mix 154: 0.00ms, total: 0.07ms
Thread 2: query mix 158: 0.00ms, total: 0.06ms
Thread 3: query mix 159: 0.00ms, total: 0.07ms
Thread 2: query mix 160: 0.00ms, total: 0.10ms
Thread 1: query mix 157: 0.00ms, total: 0.07ms
Thread 2: query mix 162: 0.00ms, total: 0.07ms
Thread 1: query mix 163: 0.00ms, total: 0.11ms
Thread 4: query mix 156: 0.00ms, total: 0.07ms
Thread 1: query mix 165: 0.00ms, total: 0.11ms
Thread 2: query mix 164: 0.00ms, total: 0.06ms
Thread 3: query mix 161: 0.00ms, total: 0.07ms
Thread 1: query mix 167: 0.00ms, total: 0.07ms
Thread 2: query mix 168: 0.00ms, total: 0.08ms
